country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Afghanistan,-0.5990776408933924,0.09549001261083383,0.1575538087566892,-0.024332503541398834,-0.04561765275089113,-0.046532081640536224,0.07680288756652738,0.04060966282283474,0.023571824118912618
Albania,0.15847429673261335,-0.21209240446273703,-0.06418900181211139,-0.06124679332206969,0.014191461605081739,-0.010246153354298713,-0.043566631148342846,0.030841839183032276,0.029832668260141828
Algeria,0.0036855177352033077,-0.13586725169399766,-0.13418203164387005,0.13357440549945865,-0.0911502751801294,0.02598835526242236,-0.04560370229321774,-0.010197685603583799,0.003011721040651909
Angola,-0.6502349912467081,0.27597526274781287,-0.14267249313038383,0.15601830962057942,-0.08199735928773544,0.03216986414669192,-0.07398481408024173,-0.045195024235527,-0.04224055368891805
Antigua and Barbuda,0.20071124261596324,-0.06466222842615132,-0.10071548869889753,-0.03790176363185914,-0.035799051151251066,-0.05581727421807569,-0.00955857878279737,0.026228087705735287,0.02245509002776382
Argentina,0.1125340013545153,-0.20604633143446735,0.11894180938466802,0.1064477895035173,-0.05415942393570548,0.11644624005548958,0.01393121689349261,-0.024421960471926275,0.0166561416994927
Armenia,0.08748612332997943,-0.24430696026408594,-0.15356622668418554,0.012330548001664086,0.05116344025591424,-0.00959637331956259,-0.014020795761020905,0.0810147677611716,0.006759857441455647
Australia,0.440783586238544,0.016281586926703746,0.26919877426556216,0.22565696653073167,0.01756614194764993,-0.07034007377729325,-0.025553741006226375,0.07189140902341068,-0.04461197285698627
Austria,0.5205263926665187,0.11505266691266829,0.2435197326573565,0.0019479392773483722,0.0339043433258111,0.003389861227302859,-0.020881941516929105,0.0019681907551330983,-0.020727156995439706
Azerbaijan,0.03880914545463237,-0.12198813297865505,-0.07862790089153321,0.06384634379732089,0.10972039317567145,0.09716321444073485,-0.013525293863480772,-0.12306731428322121,-0.04349238543150168
Bahamas,0.25330504129968373,-0.0370924750988085,0.08019007956722635,0.004686209967720387,0.06465079773097977,-0.047032169878147886,0.01633264390156584,0.03741055767109904,-0.04310739668713209
Bahrain,0.28004875363781073,0.08194451910703046,-0.15126383988151612,0.10232208256760954,-0.009000839282608412,-0.0016511275187710713,0.038549559862625406,-0.05014252336339923,0.04097713803465702
Bangladesh,-0.10721303971102701,-0.24817006961744276,-0.1228911762953073,0.11901114264747599,0.09721295593678957,-0.03188384117704293,-0.06943343219657687,0.021620564748481685,-0.021604889094121688
Barbados,0.23240595477558443,-0.10625665061398033,0.025002079397384046,-0.07014098709483332,0.00920903267328834,-0.032874869189832165,-0.03521567387171734,0.004462383913502604,-0.01472278304124363
Belarus,0.18238382723518132,-0.10352266346148908,-0.190406897519765,-0.08657551668584172,0.04431095113914815,0.09871612117192789,0.06947532285355336,0.03942517594553121,0.007322410773892388
Belgium,0.4955252868934174,0.24168216961753472,0.13560605134912437,-0.10766878405446217,-0.03700549433205035,0.012394172593347144,-0.016434713875348964,0.0042650510993374234,-0.02313095971257974
Belize,0.03439589776107488,-0.052587092934387444,-0.17336680640886643,-0.07477036632911443,-0.04199747713499638,-0.06199516965635777,0.024481015801539947,-0.024649532346698408,-0.03830842320387257
Benin,-0.5721153282550093,0.08891621815876745,-0.021577412258331083,0.09162602110794928,0.014099106618046146,-0.14059954222274013,-0.08779597247688674,0.0024340102441335427,0.009043138303430082
Bhutan,-0.007218397155775323,-0.06228780718285057,-0.17276864261686026,-0.11083263848616777,0.01809349632142012,-0.011855720814167409,-0.07022744435891178,0.06491198575353899,0.0302236646796415
Bolivia,-0.1208672258042988,-0.09859734242941062,-0.10254255555339446,0.052166590921295886,-0.03306840481867415,-0.018522900182327003,-0.05362885896423007,-0.03699553408268956,-0.026358714435748175
Bosnia and Herzegovina,0.2599988414217384,-0.22215393346065898,0.1379302339417822,-0.2316853152656035,0.003087200229684556,0.030354207107253336,-0.02300625302968711,-0.03052375958055751,0.03734728940468039
Botswana,-0.1537206138089997,0.02940304454658623,0.04029735422255062,-0.1330633310120309,0.15624486638599633,0.07182161231135045,0.12128658596700298,-0.0364832116531622,-0.016548688436823243
Brazil,0.1396248941256216,-0.2631596243592047,0.1800435781571673,0.0458732689422381,0.053780621446651,0.04067690068463032,-0.005806786162791701,-0.03727717626522648,-0.0033521664579556636
Brunei,0.4204160178754092,0.19485163562281854,-0.15855807186886428,0.42667432651918186,0.09065109894728002,0.056821215308570296,0.08007098800462754,-0.07150595567952955,0.152391102643583
Bulgaria,0.20775215796331278,-0.12550835548981928,-0.09221132667167654,-0.1001387882298581,0.03789689357653726,-0.013699789210619394,0.006129370829102994,-0.033349164572080245,0.0032126611795064777
Burkina Faso,-0.6538925108450021,0.11320578067892349,0.1409493637640993,0.0514763683292906,-0.0028624465087849793,-0.06694583114030864,-0.03436571369979675,-0.03578213740041708,0.004643247685433689
Burundi,-0.6097543899838296,0.11313394663952056,0.3760401676248116,-0.11259834680778862,-0.1228581324699238,0.011582794607530951,0.0628480904515711,-0.027152675579199138,0.036344440978834366
Cambodia,-0.10913559793860281,-0.030511475050592214,-0.14367346126079855,-0.12309747670255468,0.03487449641385669,-0.024978130251957654,0.005360008054049442,-0.02080834851975255,-0.03797906837229124
